Name	MarketCap	IPOyear	Sector	Industry	CapBucket_Label
3D Systems Corporation	1466885210.0		Technology	Computer Software: Prepackaged Software	Small
3M Company	1.21556e+11		Health Care	Medical/Dental Instruments	Large
500.com Limited	413791322.7	2013.0	Consumer Services	Services-Misc. Amusement & Recreation	Small
58.com Inc.	9146444201.0	2013.0	Technology	Computer Software: Programming, Data Processing	Mid
A.H. Belo Corporation	108765830.0		Consumer Services	Newspapers/Magazines	Micro
A10 Networks, Inc.	458565267.6	2014.0	Technology	Computer Communications Equipment	Small
AAC Holdings, Inc.	221600778.5	2014.0	Health Care	Medical Specialities	Micro
AAR Corp.	1239993861.0		Capital Goods	Aerospace	Small
Aaron&#39;s,  Inc.	3214492951.0		Technology	Diversified Commercial Services	Mid
ABB Ltd	48740461011.0		Consumer Durables	Electrical Products	Large
Abbott Laboratories	87063281959.0		Health Care	Major Pharmaceuticals	Large
AbbVie Inc.	1.17835e+11	2012.0	Health Care	Major Pharmaceuticals	Large
Abercrombie & Fitch Company	849788160.0		Consumer Services	Clothing/Shoe/Accessory Stores	Small
Aberdeen Greater China Fund, Inc.	105360688.3	1992.0	n/a	n/a	Micro
Aberdeen Japan Equity Fund, Inc. 	115717035.8	1992.0	n/a	n/a	Micro
Aberdeen Singapore Fund, Inc.	86133986.28	1990.0	n/a	n/a	Micro
ABM Industries Incorporated	2452069414.0		Finance	Diversified Commercial Services	Mid
Acadia Realty Trust	2389311122.0		Consumer Services	Real Estate Investment Trusts	Mid
Accenture plc	82907409222.0	2001.0	Miscellaneous	Business Services	Large
Acco Brands Corporation	1186398630.0		Consumer Durables	Publishing	Small
Acorn International, Inc.	55612559.25	2007.0	Consumer Services	Other Specialty Stores	Micro
Actuant Corporation	1411812410.0		Technology	Industrial Machinery/Components	Small
Acuity Brands Inc	7341071171.0		Consumer Durables	Building Products	Mid
Acushnet Holdings Corp.	1218778863.0	2016.0	Consumer Non-Durables	Recreational Products/Toys	Small
Adams Diversified Equity Fund, Inc.	1449881489.0		n/a	n/a	Small
Adams Natural Resources Fund, Inc.	512776840.0		n/a	n/a	Small
Adecoagro S.A.	1164552690.0	2011.0	Consumer Non-Durables	Farming/Seeds/Milling	Small
Adient plc	6487207455.0	2016.0	Capital Goods	Auto Parts:O.E.M.	Mid
Adtalem Global Education Inc.	2101272600.0		Consumer Services	Other Consumer Services	Mid
Advance Auto Parts Inc	7150637144.0		Consumer Services	Other Specialty Stores	Mid
Advanced Disposal Services, Inc.	2087883661.0	2016.0	Public Utilities	Environmental Services	Mid
Advanced Drainage Systems, Inc.	1055201427.0	2014.0	Capital Goods	Containers/Packaging	Small
Advanced Semiconductor Engineering, Inc.	10093726175.0		Technology	Semiconductors	Large
AdvanSix Inc.	957774791.7	2016.0	Basic Industries	Major Chemicals	Small
Advantage Oil & Gas Ltd	1171495981.0		Energy	Oil & Gas Production	Small
Advent Claymore Convertible Securities and Income Fund	379416310.9	2003.0	n/a	n/a	Small
Advent Claymore Convertible Securities and Income Fund II	198654724.9	2007.0	n/a	n/a	Micro
Advent/Claymore Enhanced Growth & Income Fund	77312785.22	2005.0	n/a	n/a	Micro
AECOM	5111904828.0	2007.0	Consumer Services	Military/Government/Technical	Mid
Aegean Marine Petroleum Network Inc.	201137913.9	2006.0	Energy	Oil Refining/Marketing	Micro
Aegon NV	23530131250.0		Finance	Life Insurance	Large
Aercap Holdings N.V.	8115368967.0	2006.0	Technology	Diversified Commercial Services	Mid
Aerohive Networks, Inc.	185325421.4	2014.0	Technology	EDP Services	Micro
Aerojet Rocketdyne Holdings, Inc. 	2192169000.0		Capital Goods	Military/Government/Technical	Mid
Aetna Inc.	52106490000.0		Health Care	Medical Specialities	Large
Affiliated Managers Group, Inc.	9739339314.0		Finance	Investment Managers	Mid
Aflac Incorporated	32432499864.0		Finance	Accident &Health Insurance	Large
AG Mortgage Investment Trust, Inc.	531244938.7	2011.0	n/a	n/a	Small
AGCO Corporation	5400711341.0		Capital Goods	Industrial Machinery/Components	Mid
Agilent Technologies, Inc.	20575800000.0	1999.0	Capital Goods	Biotechnology: Laboratory Analytical Instruments	Large
Agnico Eagle Mines Limited	11712719579.0		Basic Industries	Precious Metals	Large
Agree Realty Corporation	1402635509.0		Consumer Services	Real Estate Investment Trusts	Small
Agrium Inc.	13404566486.0		Basic Industries	Agricultural Chemicals	Large
Air Lease Corporation	4144995446.0	2011.0	Technology	Diversified Commercial Services	Mid
Air Products and Chemicals, Inc.	31714976763.0		Basic Industries	Major Chemicals	Large
Aircastle Limited	1741147155.0	2006.0	Technology	Diversified Commercial Services	Small
AK Steel Holding Corporation	1816673502.0		Basic Industries	Steel/Iron Ore	Small
Alamo Group, Inc.	1044757291.0		Capital Goods	Industrial Machinery/Components	Small
Alamos Gold Inc.	2443912894.0	2015.0	Basic Industries	Precious Metals	Mid
Alaska Air Group, Inc.	9156942572.0		Transportation	Air Freight/Delivery Services	Mid
Albany International Corporation	1675620000.0		Basic Industries	Textiles	Small
Albemarle Corporation	12723144890.0		Basic Industries	Major Chemicals	Large
Alcoa Corporation	7943190434.0	2016.0	Capital Goods	Metal Fabrications	Mid
Alere Inc.	4310556921.0		Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	Mid
Alexander & Baldwin Holdings, Inc.	2116399648.0		Finance	Real Estate	Mid
Alexander&#39;s, Inc.	2109923645.0		Consumer Services	Real Estate Investment Trusts	Mid
Alexandria Real Estate Equities, Inc.	11178962310.0		Consumer Services	Real Estate Investment Trusts	Large
Algonquin Power & Utilities Corp.	4057990690.0	2016.0	Public Utilities	Electric Utilities: Central	Mid
Alibaba Group Holding Limited	4.33154e+11	2014.0	Miscellaneous	Business Services	Mega
Alleghany Corporation	8636684642.0		Finance	Property-Casualty Insurers	Mid
Allegheny Technologies Incorporated	2266875021.0		Basic Industries	Steel/Iron Ore	Mid
Allegion plc	7437321663.0	2013.0	Consumer Services	Diversified Commercial Services	Mid
Allergan plc.	74837783470.0	2013.0	Health Care	Major Pharmaceuticals	Large
Allete, Inc.	3925205077.0		Public Utilities	Power Generation	Mid
Alliance California Municipal Income Fund Inc	118738791.8	2002.0	n/a	n/a	Micro
Alliance Data Systems Corporation	12488767510.0	2001.0	Miscellaneous	Business Services	Large
Alliance National Municipal Income Fund Inc	406740844.4	2002.0	n/a	n/a	Small
Alliance One International, Inc.	96931717.2		Consumer Services	Farming/Seeds/Milling	Micro
Alliance World Dollar Government Fund II	1115812020.0	1993.0	n/a	n/a	Small
AllianceBernstein Holding L.P.	2167814120.0		Finance	Investment Managers	Mid
Alliant Energy Corporation	9882539575.0		Public Utilities	Power Generation	Mid
AllianzGI Convertible & Income 2024 Target Term Fund	179831095.4	2017.0	n/a	n/a	Micro
AllianzGI Convertible & Income Fund	618433197.1	2003.0	n/a	n/a	Small
AllianzGI Convertible & Income Fund II	465884602.6	2003.0	n/a	n/a	Small
AllianzGI Diversified Income & Convertible Fund	216904616.7	2015.0	n/a	n/a	Micro
AllianzGI Equity & Convertible Income Fund	559166913.7	2007.0	n/a	n/a	Small
AllianzGI NFJ Dividend, Interest & Premium Strategy Fund	1251380869.0	2005.0	Finance	Finance: Consumer Services	Small
Allison Transmission Holdings, Inc.	5135452460.0	2012.0	Capital Goods	Auto Parts:O.E.M.	Mid
Allstate Corporation (The)	32547656110.0		Finance	Property-Casualty Insurers	Large
Ally Financial Inc.	10058720638.0	2014.0	Finance	Finance: Consumer Services	Large
Alon USA Partners, LP	712834339.2	2012.0	Energy	Integrated oil Companies	Small
Alpine Global Dynamic Dividend Fund	128256728.0	2006.0	n/a	n/a	Micro
Alpine Global Premier Properties Fund	553443522.5	2007.0	n/a	n/a	Small
Alpine Total Dynamic Dividend Fund	936062049.3	2007.0	n/a	n/a	Small
Alteryx, Inc.	1376468662.0	2017.0	Technology	Computer Software: Prepackaged Software	Small
Altice USA, Inc.	22849137946.0	2017.0	Consumer Services	Television Services	Large
Altisource Residential Corporation	641914063.2		Finance	Real Estate	Small
Altria Group	1.22884e+11		Consumer Non-Durables	Farming/Seeds/Milling	Large
Aluminum Corporation of China Limited	10975157013.0	2001.0	Basic Industries	Aluminum	Large
Amber Road, Inc.	214555302.1	2014.0	Technology	Computer Software: Prepackaged Software	Micro
Ambev S.A.	98012778240.0	2013.0	Consumer Non-Durables	Beverages (Production/Distribution)	Large
AMC Entertainment Holdings, Inc.	1760668269.0	2013.0	Consumer Services	Movies/Entertainment	Small
Amec Plc Ord	2087529927.0	2014.0	Consumer Services	Military/Government/Technical	Mid
Ameren Corporation	14630878319.0		Public Utilities	Power Generation	Large
Ameresco, Inc.	332353268.5	2010.0	Basic Industries	Engineering & Construction	Small
